Sample_ID,Cmass,Nmass,CNratio,Carea,N
BNL12779T,477.8,23.3,20.51,42.99,2.1
BNL12781,473.5,16.9,28.02,52.42,1.87
BNL12781T,473.5,16.9,28.02,52.42,1.87
BNL12782,477.7,18.7,25.55,65.15,2.55
BNL12782T,477.7,18.7,25.55,65.15,2.55
BNL12783,358.2,12.4,28.89,45.35,1.57
BNL12783T,358.2,12.4,28.89,45.35,1.57
BNL12784,525,16.4,32.01,38.1,1.19
BNL12784T,525,16.4,32.01,38.1,1.19
BNL12785,510.8,16.6,30.77,37.58,1.22
BNL12785T,510.8,16.6,30.77,37.58,1.22
BNL12786,514.2,16.6,30.98,34.63,1.12
BNL12786T,514.2,16.6,30.98,34.63,1.12
BNL12787,484.4,22.9,21.15,66.85,3.16
BNL12787T,484.4,22.9,21.15,66.85,3.16
BNL12788,497.7,23.9,20.82,54.95,2.64
BNL12788T,497.7,23.9,20.82,54.95,2.64
BNL12789,507.5,23.6,21.5,69.55,3.23
BNL12789T,507.5,23.6,21.5,69.55,3.23
BNL12801,442.1,39,11.34,19.14,1.69
BNL12802,450.9,25.9,17.41,24.62,1.41
BNL12803,451.9,22,20.54,44.96,2.19
BNL12804,504.9,29.4,17.17,25.29,1.47
BNL12805,494,32.9,15.02,25.04,1.67
BNL12806,498,23.4,21.28,59.31,2.79
BNL12808,515.5,28,18.41,29.04,1.58
BNL12811,501.8,22.5,22.3,37.37,1.68
BNL12812,511.8,22.8,22.45,41.34,1.84
BNL12813,510.2,21.2,24.07,41.67,1.73
BNL12814,535.5,21,25.5,49.37,1.94
BNL12815,529,22.9,23.1,63.45,2.75
BNL12816,519.6,22.7,22.89,34.61,1.51
BNL12817,451,26.2,17.21,28.95,1.68
BNL12818,472.9,26.4,17.91,26.42,1.47
BNL12819,464.1,16.9,27.46,55.45,2.02
BNL12822,462.7,22.3,20.75,27.71,1.34
BNL12824,501.9,25.5,19.68,37.85,1.92
BNL12824T,501.9,25.5,19.68,37.85,1.92
BNL12825,478.2,21.7,22.04,44.74,2.03
BNL12825T,478.2,21.7,22.04,44.74,2.03
BNL12826,475.8,21.6,22.03,48.52,2.2
BNL12827,474.5,17.5,27.11,40.3,1.49
BNL12827T,474.5,17.5,27.11,40.3,1.49
BNL12828,467.7,20.4,22.93,41.91,1.83
BNL12828T,467.7,20.4,22.93,41.91,1.83
BNL12829,479.6,24.7,19.42,38.2,1.97
BNL12830,468.6,30,15.62,42.07,2.69
BNL12831,435.7,28,15.56,48.01,3.09
BNL12834,518.3,24.8,20.9,40.29,1.93
